contact_id,first_name,last_name,email,city,state,zip_code,donor_status,contact_created_date,first_gift_date,last_gift_date,total_gifts,total_number_of_gifts,average_gift,giving_vehicle,subscription_type,subscription_status,subscription_start_date,email_open_rate,last_email_click_date,event_attendance_count,wealth_score,notes,p2g_score,gift_capacity_rating,estimated_annual_donations,title,deceased,biography,business_affiliations,community_affiliations,expertise_and_interests,do_not_contact,do_not_call,email_opt_out,preferred_phone,preferred_email,hedgehog_review_subscriber,institute_status,foundation_status,lead_source,largest_gift,smallest_gift,best_gift_year,last_gift_amount
003XX00000BRNtp3Fa,Denise,Anderson,denise.anderson0@example.com,New York,NY,11277,active,2019-07-30,2023-07-05,2025-01-13,40,3,13.33,stock,print,expired,2018-12-16,,,0,2,,,,305.05,,0,,,,,1,1,1,Mobile,Work,1,Friend,None,Hedgehog Review,20.0,20.0,2025,20.0
003XX00000RnWWMQ6o,Betty,Carter,betty.carter1@example.com,Richmond,VA,23031,prospect,2019-05-10,,,,,,,none,never,,0.338,,0,5,,,,2038.6,,0,,,,,0,0,0,Mobile,,0,Friend,Prospect,Hedgehog Review,,,,
003XX00000mxaDX9g8,Mark,Martin,mark.martin2@example.com,,,,prospect,2007-07-28,,,,,,,none,never,,0.258,2026-01-18,8,,,,,,,0,,,,,0,0,0,,,1,None,Prospect,,,,,
003XX00000OOjEty8h,Ibrahim,Flores,ibrahim.flores3@example.com,Berkeley,CA,94521,prospect,2011-12-25,,,,,,,none,never,,0.327,,0,,,,,,Director,0,,,,,0,0,0,Mobile,,1,Friend,Prospect,Other,,,,
003XX00000dwyLGaac,Dylan,Murphy,dylan.murphy4@example.com,,,,lapsed,2019-06-30,2020-01-17,2020-05-21,35,1,35.0,check,print,active,2018-12-04,0.394,,0,1,,11,,,,0,,"Board of Directors, United Way of Greater Charlottesville",Harvard Club of Washington DC; Kennedy Center Patron,,0,0,0,,,1,None,None,Hedgehog Review,35,35,2020,35
003XX000008jhuDkf0,Emma,Ramirez,emma.ramirez5@example.com,St. Louis,MO,63123,active,2010-04-11,2019-05-01,2020-09-03,50,5,10.0,online,none,never,,0.235,,0,3,,14,,212.7,Director,0,,,,,0,0,0,,,0,None,None,Hedgehog Review,20.0,20.0,2020,20.0
003XX00000Sp6IHGiQ,Amara,Shapiro,amara.shapiro6@example.com,Orlando,FL,33187,prospect,2006-02-21,,,,,,,print,active,2012-05-30,,,0,3,Known DAF holder at Fidelity Charitable,,,,Assistant Professor,0,,,,"Medical humanities, bioethics",0,0,0,,,1,None,Prospect,Direct Mail,,,,
003XX00000pVi28u5O,Rebecca,Young,rebecca.young7@example.com,Columbus,OH,43252,prospect,2007-11-26,,,,,,,none,never,,0.412,,0,4,Known DAF holder at Fidelity Charitable,,,4369.48,,0,,,,"Philanthropy law, estate planning",0,0,0,,Personal,0,None,Prospect,Website,,,,
003XX00000GatTlfXj,Shirley,Jones,shirley.jones8@example.com,Fort Worth,TX,77066,lapsed,2023-01-31,2023-01-31,2023-05-12,20.0,3,6.67,online,none,never,,0.279,2025-09-23,6,3,,,,,,0,,,,,0,0,0,Mobile,Personal,0,None,None,Hedgehog Review,20.0,20.0,2023,20.0
003XX00000pNMBPd0E,Amara,Walker,amara.walker9@example.com,Oakland,CA,90091,prospect,2008-04-23,,,,,,,none,never,,,,1,,Connected through local arts community,,,,,0,,,,,0,0,0,,,0,None,Prospect,Event,,,,
003XX00000bu0RweOb,George,Okafor,george.okafor10@example.com,,,,prospect,2012-03-04,,,,,,,none,never,,,,0,,Former colleague of board member,,,,,0,,,,,0,0,0,,Personal,1,None,Prospect,Direct Mail,,,,
003XX00000uhlNNbBU,Adam,Cohen,adam.cohen11@example.com,Washington,DC,20059,lapsed,2013-11-02,2020-06-22,2023-08-22,25,4,6.25,check,both,active,2017-01-02,0.155,,1,2,,20,,209.49,,0,Emeritus professor of sociology at Georgetown; founding donor to the Institute.,,,"American intellectual history, political philosophy",0,0,0,,,1,None,None,Hedgehog Review,20.0,20.0,2020,20.0
003XX00000j5j4X6Mk,Helen,Wilson,helen.wilson12@example.com,,,,prospect,2011-10-07,,,,,,,none,never,,0.067,,0,,,,,4129.42,SVP,0,,,,,0,0,0,,,0,None,Prospect,Hedgehog Review,,,,
003XX00000RbujpUeU,Gary,Lopez,gary.lopez13@example.com,Washington,DC,20243,new_donor,2011-03-14,2024-09-11,2026-02-22,25,4,6.25,online,none,never,,0.408,2025-04-06,0,3,,,,,,0,,,,,0,0,0,,Work,0,None,None,Website,20.0,20.0,2025,20.0
003XX00000SWSrHCDS,Betty,Harris,betty.harris14@example.com,,,,lapsed,2015-01-08,2016-03-03,2016-04-23,45,4,11.25,online,none,never,,0.061,,0,2,,,,140.21,,0,,,,,0,0,0,,,0,None,None,Hedgehog Review,20.0,20.0,2016,20.0
003XX00000JKEAbkSO,Tammy,Hernandez,tammy.hernandez15@example.com,,,,lapsed,1996-03-12,2006-08-31,2012-08-07,50,2,25.0,online,both,active,2011-12-01,,,2,5,,,,,,0,,,,,1,1,1,Mobile,,1,None,None,Website,40,20.0,2007,40
003XX00000jvKgbR9b,Jennifer,Wright,jennifer.wright16@example.com,,,,subscriber_only,2012-10-21,,,,,,,print,active,2018-06-19,,,0,,,,,,,0,,,,,0,0,0,,,1,None,Prospect,Hedgehog Review,,,,
003XX00000R6yicTU8,Hannah,Mbeki,hannah.mbeki17@example.com,Somerville,MA,02184,prospect,2009-03-17,,,,,,,both,active,2022-05-12,0.287,2025-07-14,1,,,,,,,0,,,,,0,0,0,,,1,None,Prospect,Event,,,,
003XX00000LluIEv0V,Emily,Roberts,emily.roberts18@example.com,,,,prospect,2005-09-09,,,,,,,none,never,,0.186,,0,,,,,4361.05,,0,,,,,0,0,0,,,0,None,Prospect,Other,,,,
003XX000007UG0G4AI,Steven,Tanaka,steven.tanaka19@example.com,,,,subscriber_only,2015-07-14,,,,,,,digital,active,2003-08-08,,,0,,,,,,,0,,,,,0,0,0,,,1,None,Prospect,Hedgehog Review,,,,
003XX00000XTsv2CEn,Gregory,Cohen,gregory.cohen20@example.com,,,,prospect,2012-06-20,,,,,,,none,never,,0.275,2024-01-05,0,5,,9,,,,0,,,,,0,0,0,,,1,None,Prospect,Hedgehog Review,,,,
003XX00000S7qcS90G,Samuel,Kelly,samuel.kelly21@example.com,Washington,DC,20289,prospect,2022-07-12,,,,,,,digital,active,2002-03-14,0.24,,0,,Former colleague of board member,14,,,,0,Attorney specializing in philanthropy law; advises several family foundations.,,,,0,0,0,Mobile,,1,None,Prospect,Board Referral,,,,
003XX00000PzdyuVH7,Anna,Perez,anna.perez22@example.com,,,,subscriber_only,2018-01-01,,,,,,,print,active,2020-05-26,,,0,,,,,,,0,,,,,0,0,0,,,1,None,Prospect,Hedgehog Review,,,,
003XX00000ky6GOB2i,Catherine,King,catherine.king23@example.com,,,,prospect,2019-04-03,,,,,,,none,never,,0.262,2024-10-05,0,5,Known DAF holder at Fidelity Charitable,,,3512.77,,0,,,,,0,0,0,,Work,0,None,Prospect,Event,,,,
003XX00000h8WYLH0c,Tiffany,Mitchell,tiffany.mitchell24@example.com,San Francisco,CA,94502,lapsed,2007-10-29,2020-06-27,2021-08-22,600,5,120.0,online,none,never,,0.377,,12,,Met at conference 2019,,,,,0,,"Managing Director, Cornerstone Capital Advisors",Harvard Club of Washington DC; Kennedy Center Patron,,0,0,0,Mobile,,0,Friend,Annual Donor,Email Campaign,150,50,2020,150
003XX00000SnB90aGs,Alan,Yamamoto,alan.yamamoto25@example.com,Bellevue,WA,98177,prospect,2019-01-02,,,,,,,none,never,,0.174,,1,,Interested in naming opportunity,15,,,,0,,,,"Environmental history, Appalachian studies",0,0,0,,Personal,1,None,Prospect,Email Campaign,,,,
003XX00000ikiUHVpu,Jack,Taylor,jack.taylor26@example.com,,,,lapsed,2011-06-15,2018-06-17,2025-03-21,300,2,150.0,online,digital,active,2024-12-13,,,3,2,,27,,,,0,,,Charlottesville Area Community Foundation,,0,0,1,,Work,1,None,Annual Donor,Hedgehog Review,150,150,2021,150
003XX00000swjFDJmp,Catherine,Flores,catherine.flores27@example.com,Oakland,CA,94177,prospect,2016-06-29,,,,,,,print,active,2012-09-14,0.346,,0,2,,19,,,,0,,,,,0,0,0,,,1,None,Prospect,Hedgehog Review,,,,
003XX00000aZnRZ7K6,Raymond,Murphy,raymond.murphy28@example.com,San Antonio,TX,78211,lapsed,2014-10-10,2021-05-18,2022-07-03,40,3,13.33,online,digital,expired,2003-06-05,0.071,,1,,Responded to Year-End Appeal,34,Entry-Level,,,0,,,,,0,0,0,,,1,None,None,Event,20.0,20.0,2022,20.0
003XX00000nxkVEcCW,Mildred,Wang,mildred.wang29@example.com,Palo Alto,CA,90078,prospect,2018-01-07,,,,,,,both,expired,2001-11-03,0.491,2022-05-07,0,,,9,,291.8,,0,,,,,0,0,0,Home,,1,None,Prospect,Hedgehog Review,,,,
003XX00000Rso42UkI,Kelly,Roberts,kelly.roberts30@example.com,Ladue,MO,64784,prospect,2006-11-26,,,,,,,digital,active,2014-09-25,0.268,2025-08-16,3,,,,,,,0,,,,"Religious history, Southern literature",0,0,0,,,1,None,Prospect,Website,,,,
003XX00000Lqm3sCWs,Donna,Lee,donna.lee31@example.com,,,,active,2015-01-26,2017-09-10,2023-09-06,100,4,25.0,DAF,print,expired,2019-10-06,0.158,,3,,Attended homecoming reception,59,Mid-Level,185.38,,0,,,,,0,0,0,Home,Personal,1,None,Annual Donor,Hedgehog Review,40,20.0,2020,20.0
003XX00000NTGsUJC4,Christopher,Mitchell,christopher.mitchell32@example.com,Savannah,GA,30560,lapsed,2006-10-12,2007-03-16,2012-12-11,150,5,30.0,online,print,active,2013-07-05,0.128,,2,2,,,,,,0,,,,,0,0,0,,,1,None,Annual Donor,Event,50,20.0,2009,20.0
003XX00000n8PBwVtm,Mildred,Garcia,mildred.garcia33@example.com,,,,lapsed,1998-12-26,2000-12-21,2016-10-11,75,2,37.5,stock,none,never,,0.357,,0,,,14,,,,0,,,,,0,0,0,Mobile,,0,None,None,Direct Mail,50,20.0,2011,50
003XX000008ee5gxtE,Ann,Baker,ann.baker34@example.com,Cincinnati,OH,44137,prospect,2019-10-29,,,,,,,digital,active,2019-02-11,0.179,,2,1,Works in philanthropic advising,,,3429.11,,0,,,,"Religious history, Southern literature",0,0,0,Home,Personal,1,None,Prospect,Event,,,,
003XX00000jgYoPHte,Douglas,Martinez,,Oak Park,IL,60799,lapsed,2018-09-22,2020-04-28,2023-01-29,125,1,125.0,online,none,never,,0.049,,0,,,30,Entry-Level,,,0,,,,,0,0,0,,Personal,0,Friend,Annual Donor,Event,125,125,2023,125
003XX00000gvzE8nbq,Sara,Mensah,sara.mensah36@example.com,Asheville,NC,28281,prospect,1998-10-16,,,,,,,both,expired,2002-06-26,,,5,5,Met at annual gala,9,,2999.86,,0,,,,,1,1,1,,Personal,1,None,Prospect,Email Campaign,,,,
003XX00000vZnemR7d,Shirley,Clark,shirley.clark37@example.com,,,,lapsed,2015-03-05,2015-12-28,2023-09-18,300,4,75.0,online,digital,active,2014-04-28,0.628,2023-10-16,0,,,,,,,0,,,,,0,0,0,Mobile,,1,None,Annual Donor,Direct Mail,125,40,2021,125
003XX00000FYcOkDRl,Keith,Williams,keith.williams38@example.com,,,,lapsed,2017-01-14,2017-02-16,2018-05-03,75,3,25.0,stock,digital,active,2008-09-24,0.174,,3,1,,,,151.9,,0,,,,,0,0,0,,,1,None,None,Hedgehog Review,30,20.0,2018,20.0
003XX00000K9tSUzhr,Billy,Green,billy.green39@example.com,Columbus,OH,44042,prospect,2020-06-07,,,,,,,none,never,,0.211,,0,,,22,Entry-Level,1286.76,,0,,,,,0,0,0,,,0,None,Prospect,Board Referral,,,,
003XX000009dX7chhp,Arthur,Adams,arthur.adams40@example.com,,,,lapsed,2020-07-20,2021-04-16,2024-01-03,175,5,35.0,check,none,never,,0.346,2025-02-21,8,,,,,753.55,,0,,,Junior League of Richmond; Arts Council of Greater Richmond,,0,0,0,,,0,Friend,Annual Donor,Website,50,20.0,2022,20.0
003XX00000PpgnDZsG,Bryan,Walker,bryan.walker41@example.com,,,,prospect,2000-02-01,,,,,,,both,expired,2021-05-03,,,5,,Board member referral,13,,961.36,,0,,,,,0,0,1,,Personal,1,None,Prospect,Hedgehog Review,,,,
003XX00000g3IfQyUt,Gabriel,Goldstein,gabriel.goldstein42@example.com,Orlando,FL,33194,lapsed,2020-02-16,2021-03-17,2022-03-12,50,4,12.5,stock,both,active,2004-04-11,0.141,,0,3,,,,,,0,,,,,0,0,0,,,1,None,None,Event,20.0,20.0,2021,20.0
003XX000007dc9Xr4u,Jeffrey,Lewis,jeffrey.lewis43@example.com,,,,lapsed,2010-07-21,2012-05-21,2022-05-29,35,5,7.0,check,none,never,,,,0,3,,,,,CEO,1,,"Advisory Council, American Enterprise Institute",,,0,1,0,Home,,0,None,None,Hedgehog Review,20.0,20.0,2014,20.0
003XX00000BZvv8oa9,Sarah,Okafor,sarah.okafor44@example.com,Chapel Hill,NC,27748,lapsed,2017-03-11,2018-09-06,2022-05-07,25,5,5.0,online,print,expired,2000-02-26,,,0,1,,,,148.63,Counsel,0,Retired diplomat; supporter of cultural exchange programs and international scholarship.,"Director, Monticello Foundation",,,1,1,1,,,1,None,None,Email Campaign,20.0,20.0,2019,20.0
003XX000009O4jjvyO,Kimberly,Tanaka,kimberly.tanaka45@example.com,,,,lapsed,2014-04-11,2017-08-23,2020-09-24,900,13,69.23,DAF,none,never,,0.182,,0,,,43,Entry-Level,1738.32,,0,,,,,0,0,0,,,0,Friend,Annual Donor,Email Campaign,400,20.0,2017,30
